Price,Datetime,Close,RSI,Signal
Ticker,,AAPL,,
0,2025-03-20 13:30:00+00:00,216.9904022216797,100.0,-1
1,2025-03-20 14:30:00+00:00,215.91900634765625,0.0,1
2,2025-03-20 15:30:00+00:00,214.13999938964844,0.0,1
3,2025-03-20 16:30:00+00:00,213.22999572753906,0.0,1
4,2025-03-20 17:30:00+00:00,212.75999450683594,0.0,1
5,2025-03-20 18:30:00+00:00,212.68350219726562,0.0,1
6,2025-03-20 19:30:00+00:00,214.14999389648438,36.610125961347315,0
7,2025-03-21 13:30:00+00:00,213.74000549316406,32.743229007058034,0
8,2025-03-21 14:30:00+00:00,213.44349670410156,30.090995053948006,0
9,2025-03-21 15:30:00+00:00,214.65499877929688,49.41015286082823,0
10,2025-03-21 16:30:00+00:00,214.6199951171875,48.95910176934166,0
11,2025-03-21 17:30:00+00:00,214.6699981689453,49.71571297987042,0
12,2025-03-21 18:30:00+00:00,215.30999755859375,58.746851766271746,0
13,2025-03-21 19:30:00+00:00,218.36000061035156,79.24469008283941,-1
14,2025-03-24 13:30:00+00:00,219.77000427246094,83.59321787608953,-1
15,2025-03-24 14:30:00+00:00,219.15750122070312,75.6489835198323,-1
16,2025-03-24 15:30:00+00:00,219.0,73.5743982186312,-1
17,2025-03-24 16:30:00+00:00,219.2899932861328,75.0292277217262,-1
18,2025-03-24 17:30:00+00:00,219.75999450683594,77.36011065886171,-1
19,2025-03-24 18:30:00+00:00,219.77000427246094,77.41192387622996,-1
20,2025-03-24 19:30:00+00:00,220.42999267578125,80.7615520210859,-1
21,2025-03-25 13:30:00+00:00,223.3699951171875,89.0827940153477,-1
22,2025-03-25 14:30:00+00:00,223.52999877929688,89.37147699170444,-1
23,2025-03-25 15:30:00+00:00,223.11000061035156,82.7445180280145,-1
24,2025-03-25 16:30:00+00:00,222.80999755859375,77.97890617535617,-1
25,2025-03-25 17:30:00+00:00,223.49000549316406,80.86173130221704,-1
26,2025-03-25 18:30:00+00:00,223.4199981689453,79.62351038266914,-1
27,2025-03-25 19:30:00+00:00,223.72999572753906,81.10204852495218,-1
28,2025-03-26 13:30:00+00:00,224.07449340820312,82.7106815289319,-1
29,2025-03-26 14:30:00+00:00,223.72000122070312,75.11864540463407,-1
30,2025-03-26 15:30:00+00:00,223.6750030517578,74.1221376504272,-1
31,2025-03-26 16:30:00+00:00,222.0800018310547,48.05140990584981,0
32,2025-03-26 17:30:00+00:00,221.8350067138672,45.23177324613945,0
33,2025-03-26 18:30:00+00:00,220.60000610351562,33.72217348113918,0
34,2025-03-26 19:30:00+00:00,221.39999389648438,44.313095689916466,0
35,2025-03-27 13:30:00+00:00,221.64999389648438,47.34694265038947,0
36,2025-03-27 14:30:00+00:00,222.8000946044922,59.15805453861783,0
37,2025-03-27 15:30:00+00:00,223.19500732421875,62.49161765387368,0
38,2025-03-27 16:30:00+00:00,223.10499572753906,61.178373613421485,0
39,2025-03-27 17:30:00+00:00,224.3699951171875,71.04531034211335,-1
40,2025-03-27 18:30:00+00:00,224.7899932861328,73.61440710989112,-1
41,2025-03-27 19:30:00+00:00,223.92999267578125,60.85678284062704,0
42,2025-03-28 13:30:00+00:00,219.91000366210938,31.4551040608237,0
43,2025-03-28 14:30:00+00:00,219.97999572753906,32.11399756207099,0
44,2025-03-28 15:30:00+00:00,218.69000244140625,26.663420213766955,1
45,2025-03-28 16:30:00+00:00,218.49000549316406,25.87771806741833,1
46,2025-03-28 17:30:00+00:00,219.0500030517578,32.32099393458205,0
47,2025-03-28 18:30:00+00:00,218.50999450683594,29.47057341286751,1
48,2025-03-28 19:30:00+00:00,217.8800048828125,26.343240622253916,1
